customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,0.013888888888888888,0.11542288557213931,0.001275098084468036,0,0.03506250653345369,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5575-GNVDE,0,0.4722222222222222,0.3850746268656716,0.21586660512347106,0,0.273593690831432,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
3668-QPYBK,0,0.027777777777777776,0.35422885572139307,0.010310408492960998,1,0.1640660683074815,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7795-CFOCW,0,0.625,0.23930348258706463,0.21024117239787676,0,0.18828700974887208,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
9237-HQITU,0,0.027777777777777776,0.5218905472636816,0.015330025386568198,1,0.252612891773678,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
9305-CDSKC,0,0.1111111111111111,0.8099502487562189,0.09251096238172168,1,0.5006457754370356,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1452-KIOVK,0,0.3055555555555555,0.7049751243781094,0.22277867528271408,0,0.4615010877617744,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
6713-OKOMC,0,0.1388888888888889,0.11442786069651739,0.032667897530579276,0,0.11152088435089517,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7892-POOKP,0,0.38888888888888884,0.8611940298507462,0.3493249480729287,1,0.5853425844227559,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
6388-TABGU,0,0.861111111111111,0.3771144278606965,0.4003173321024694,0,0.28201218192944966,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
